Sample	Area	Household	Season	Individual	Type	Room	Region	Footage	No_Occupant	Under_18	Cleaning_Week	Cooking_Week	Pets	Floor	Latitude	Longitude	Windows_Winter	Windows_Spring	RelativeHumidity_AM_Winter	RelativeHumidity_PM_Winter	Temp_AM_Winter	Temp_PM_Winter	RelativeHumidity_AM_Spring	RelativeHumidity_PM_Spring	Temp_AM_Spring	Temp_PM_Spring	SurfaceTouchFrequency	SurfaceDeposition
ADMa1BRWINT	Bedroom	Admiralty A	Winter	NA	Air	Bedroom	Island	460	1	0	2	3	No Pet	Wood	22.275838	114.169094	Closed	Closed	63.9	60.1	20.4	20.7	76.9	93.5	24.1	24.6	NA	NA
ADMa1KCWINT	Kitchen	Admiralty A	Winter	NA	Air	Kitchen	Island	460	1	0	2	3	No Pet	Wood	22.275838	114.169094	Closed	Closed	63.9	60.1	20.4	20.7	76.9	93.5	24.1	24.6	NA	NA
ADMa1LRWINT	Living Room	Admiralty A	Winter	NA	Air	Living Room	Island	460	1	0	2	3	No Pet	Wood	22.275838	114.169094	Closed	Closed	63.9	60.1	20.4	20.7	76.9	93.5	24.1	24.6	NA	NA
ADMa1TLWINT	Toilet	Admiralty A	Winter	NA	Air	Bathroom	Island	460	1	0	2	3	No Pet	Wood	22.275838	114.169094	Closed	Closed	63.9	60.1	20.4	20.7	76.9	93.5	24.1	24.6	NA	NA
ADMa2BHBWINT	Bed Headboard	Admiralty A	Winter	NA	Surface	Bedroom	Island	460	1	0	2	3	No Pet	Wood	22.275838	114.169094	Closed	Closed	63.9	60.1	20.4	20.7	76.9	93.5	24.1	24.6	High	Low
ADMa2BLKWINT	Blanket	Admiralty A	Winter	NA	Surface	Bedroom	Island	460	1	0	2	3	No Pet	Wood	22.275838	114.169094	Closed	Closed	63.9	60.1	20.4	20.7	76.9	93.5	24.1	24.6	High	High
ADMa2FDSWINT	Fridge Door Seal	Admiralty A	Winter	NA	Surface	Kitchen	Island	460	1	0	2	3	No Pet	Wood	22.275838	114.169094	Closed	Closed	63.9	60.1	20.4	20.7	76.9	93.5	24.1	24.6	Low	Low
ADMa2KVTWINT	Kitchen Ventilator	Admiralty A	Winter	NA	Surface	Kitchen	Island	460	1	0	2	3	No Pet	Wood	22.275838	114.169094	Closed	Closed	63.9	60.1	20.4	20.7	76.9	93.5	24.1	24.6	Low	High
ADMa2RMCWINT	Remote Control	Admiralty A	Winter	NA	Surface	Living Room	Island	460	1	0	2	3	No Pet	Wood	22.275838	114.169094	Closed	Closed	63.9	60.1	20.4	20.7	76.9	93.5	24.1	24.6	High	Low
ADMa2SCRWINT	TV Screen	Admiralty A	Winter	NA	Surface	Living Room	Island	460	1	0	2	3	No Pet	Wood	22.275838	114.169094	Closed	Closed	63.9	60.1	20.4	20.7	76.9	93.5	24.1	24.6	Low	High
