Sample	Type	Household	Household_code_name	Area	Room	SurfaceTouchFrequency	SurfaceDeposition	Occupancy	Individual	Window	Temperature	Humidity
ADMA-3Z-FOH	Skin	Admiralty A	ADMA	Forehead	NA	NA	NA	Low	ADMA 3Z	Closed	NA	NA
ADMA-3Z-LF	Skin	Admiralty A	ADMA	Left Forearm	NA	NA	NA	Low	ADMA 3Z	Closed	NA	NA
ADMA-3Z-LP	Skin	Admiralty A	ADMA	Left Palm	NA	NA	NA	Low	ADMA 3Z	Closed	NA	NA
ADMA-3Z-RF	Skin	Admiralty A	ADMA	Right Forearm	NA	NA	NA	Low	ADMA 3Z	Closed	NA	NA
ADMA-3Z-RP	Skin	Admiralty A	ADMA	Right Palm	NA	NA	NA	Low	ADMA 3Z	Closed	NA	NA
ADMa1BRWIN	Air	Admiralty A	ADMA	Bedroom	Bedroom	NA	NA	Low	NA	Closed	20.55	62
ADMa1KCWIN	Air	Admiralty A	ADMA	Kitchen	Kitchen	NA	NA	Low	NA	Closed	20.55	62
ADMa1LRWIN	Air	Admiralty A	ADMA	Living Room	Living Room	NA	NA	Low	NA	Closed	20.55	62
ADMa1TLWIN	Air	Admiralty A	ADMA	Toilet	Bathroom	NA	NA	Low	NA	Closed	20.55	62
ADMa2BHBWIN	Surface	Admiralty A	ADMA	Bed Headboard	Bedroom	High	Low	Low	NA	Closed	NA	NA
ADMa2BLKWIN	Surface	Admiralty A	ADMA	Blanket	Bedroom	High	High	Low	NA	Closed	NA	NA
ADMa2FDSWIN	Surface	Admiralty A	ADMA	Fridge Door Seal	Kitchen	Low	Low	Low	NA	Closed	NA	NA
ADMa2KVTWIN	Surface	Admiralty A	ADMA	Kitchen Ventilator	Kitchen	Low	High	Low	NA	Closed	NA	NA
ADMa2RMCWIN	Surface	Admiralty A	ADMA	Remote Control	Living Room	High	Low	Low	NA	Closed	NA	NA
ADMa2SCRWIN	Surface	Admiralty A	ADMA	TV Screen	Living Room	Low	High	Low	NA	Closed	NA	NA
ADMa2SWCWIN	Surface	Admiralty A	ADMA	Shower Curtain	Bathroom	High	Low	Low	NA	Closed	NA	NA
ADMa2TFBWIN	Surface	Admiralty A	ADMA	Toilet Flush Button	Bathroom	High	Low	Low	NA	Closed	NA	NA
ADMb1BRWIN	Air	Admiralty B	ADMA	Bedroom	Bedroom	NA	NA	Low	NA	Closed	18.85	52.05
ADMb1KCWIN	Air	Admiralty B	ADMA	Kitchen	Kitchen	NA	NA	Low	NA	Closed	18.85	52.05
ADMb1LRWIN	Air	Admiralty B	ADMA	Living Room	Living Room	NA	NA	Low	NA	Closed	18.85	52.05
ADMb1TLWIN	Air	Admiralty B	ADMA	Toilet	Bathroom	NA	NA	Low	NA	Closed	18.85	52.05
ADMb2BHBWIN	Surface	Admiralty B	ADMA	Bed Headboard	Bedroom	High	Low	Low	NA	Closed	NA	NA
ADMb2BLKWIN	Surface	Admiralty B	ADMA	Blanket	Bedroom	High	High	Low	NA	Closed	NA	NA
ADMb2FDSWIN	Surface	Admiralty B	ADMA	Fridge Door Seal	Kitchen	Low	Low	Low	NA	Closed	NA	NA
ADMb2KVTWIN	Surface	Admiralty B	ADMA	Kitchen Ventilator	Kitchen	Low	High	Low	NA	Closed	NA	NA
ADMb2RMCWIN	Surface	Admiralty B	ADMA	Remote Control	Living Room	High	Low	Low	NA	Closed	NA	NA
ADMb2SCRWIN	Surface	Admiralty B	ADMA	TV Screen	Living Room	Low	High	Low	NA	Closed	NA	NA
ADMb2SWCWIN	Surface	Admiralty B	ADMA	Shower Curtain	Bathroom	High	Low	Low	NA	Closed	NA	NA
ADMb2TFBWIN	Surface	Admiralty B	ADMA	Toilet Flush Button	Bathroom	High	Low	Low	NA	Closed	NA	NA
FH-3Y-FOH	Skin	Fortress Hill	FH	Forehead	NA	NA	NA	Low	FH 3Y	Open	NA	NA
FH-3Y-LF	Skin	Fortress Hill	FH	Left Forearm	NA	NA	NA	Low	FH 3Y	Open	NA	NA
FH-3Y-LP	Skin	Fortress Hill	FH	Left Palm	NA	NA	NA	Low	FH 3Y	Open	NA	NA
FH-3Y-RF	Skin	Fortress Hill	FH	Right Forearm	NA	NA	NA	Low	FH 3Y	Open	NA	NA
FH-3Y-RP	Skin	Fortress Hill	FH	Right Palm	NA	NA	NA	Low	FH 3Y	Open	NA	NA
FH-3Z-FOH	Skin	Fortress Hill	FH	Forehead	NA	NA	NA	Low	FH 3Z	Open	NA	NA
FH-3Z-LF	Skin	Fortress Hill	FH	Left Forearm	NA	NA	NA	Low	FH 3Z	Open	NA	NA
FH-3Z-LP	Skin	Fortress Hill	FH	Left Palm	NA	NA	NA	Low	FH 3Z	Open	NA	NA
FH-3Z-RF	Skin	Fortress Hill	FH	Right Forearm	NA	NA	NA	Low	FH 3Z	Open	NA	NA
FH-3Z-RP	Skin	Fortress Hill	FH	Right Palm	NA	NA	NA	Low	FH 3Z	Open	NA	NA
